Tanggal,Produk,Kategori,Harga,Jumlah,Total
2023-01-01,TV LED 32",Elektronik,3000000,2,6000000
2023-03-02,Kulkas 2 Pintu,Elektronik,6000000,1,6000000
2023-03-03,Sepatu Olahraga,Pakaian,500000,10,5000000
2023-04-04,Baju Kaos,Pakaian,100000,50,5000000
2023-07-05,Laptop Gaming,Elektronik,15000000,1,15000000
2023-07-06,Handphone Android,Elektronik,4000000,3,12000000
2023-07-07,Celana Jeans,Pakaian,250000,20,5000000
2023-04-08,TV LED 40",Elektronik,4000000,2,8000000
2023-08-09,Kulkas 1 Pintu,Elektronik,4000000,1,4000000
2023-09-10,Sepatu Formal,Pakaian,750000,7,5250000
2023-06-11,Baju Kemeja,Pakaian,150000,35,5250000
2023-05-12,Laptop Kantor,Elektronik,10000000,1,10000000
2023-04-13,Handphone iOS,Elektronik,15000000,2,30000000
2023-11-14,Celana Chino,Pakaian,300000,17,5100000
2023-11-15,TV LED 50",Elektronik,5000000,2,10000000
2023-12-16,Kulkas Side by Side,Elektronik,10000000,1,10000000
2023-12-17,Sepatu Santai,Pakaian,350000,15,5250000
2023-07-18,Baju Batik,Pakaian,200000,25,5000000
2023-02-19,Laptop Ultrabook,Elektronik,13000000,1,13000000
2023-09-20,Handphone Basic,Elektronik,500000,25,12500000
2023-10-21,Celana Jogger,Pakaian,200000,25,5000000
2023-06-22,TV LED 55",Elektronik,6000000,2,12000000
2023-05-23,Kulkas Mini,Elektronik,2000000,2,4000000
2023-08-24,Sepatu Hiking,Pakaian,800000,7,5600000
2023-05-25,Baju Polo,Pakaian,150000,35,5250000
2023-04-26,Laptop 2-in-1,Elektronik,12000000,1,12000000
2023-02-27,Handphone Flip,Elektronik,1000000,12,12000000
2023-03-28,Celana Cargo,Pakaian,250000,20,5000000
2023-05-29,TV LED 60",Elektronik,7000000,2,14000000
2023-07-28,Kulkas French Door,Elektronik,12000000,1,12000000
2023-06-26,Sepatu Basket,Pakaian,900000,6,5400000
2023-02-01,Baju Sweater,Pakaian,200000,25,5000000
2023-06-02,Laptop Workstation,Elektronik,20000000,1,20000000
2023-03-03,Handphone Slide,Elektronik,1500000,8,12000000
2023-01-04,Celana Khaki,Pakaian,300000,17,5100000
2023-04-05,TV LED 65",Elektronik,8000000,2,16000000
2023-10-06,Kulkas Top Freezer,Elektronik,5000000,2,10000000
2023-12-07,Sepatu Futsal,Pakaian,600000,9,5400000
2023-05-08,Baju Hoodie,Pakaian,250000,20,5000000
2023-08-09,Laptop Convertible,Elektronik,14000000,1,14000000
2023-09-10,Handphone QWERTY,Elektronik,2000000,6,12000000
2023-05-11,Celana Training,Pakaian,150000,35,5250000
2023-02-12,TV LED 70",Elektronik,9000000,2,18000000
2023-07-13,Kulkas Bottom Freezer,Elektronik,7000000,2,14000000
2023-04-14,Sepatu Badminton,Pakaian,700000,8,5600000
2023-02-15,Baju Jacket,Pakaian,300000,17,5100000
2023-08-16,Laptop Gaming 2,Elektronik,16000000,1,16000000
2023-01-17,Handphone Touchscreen,Elektronik,2500000,5,12500000
2023-02-18,Celana Denim,Pakaian,350000,15,5250000
2023-05-19,TV LED 75",Elektronik,10000000,2,20000000
